scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Dichodon,higher_taxon,genus,path_depth,1,10,10,Dichodon cerastoides,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Alsineae|Dichodon|Dichodon cerastoides
Dichondreae,higher_taxon,tribe,suffix,2,10,10,Dichondra argentea,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Convolvulaceae|Dichondroideae|Dichondreae|Dichondra|Dichondra argentea
Dictamneae,higher_taxon,tribe,suffix,2,10,10,Dictamnus albus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Rutaceae|Zanthoxyloideae|Dictamneae|Dictamnus|Dictamnus albus
Didierea,higher_taxon,genus,path_depth,1,10,10,Didierea madagascariensis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Didiereaceae|Didiereoideae|Didierea|Didierea madagascariensis
Diervilla,higher_taxon,genus,path_depth,1,10,10,Diervilla sessilifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Diervilloideae|Diervilla|Diervilla sessilifolia
Digitalideae,higher_taxon,tribe,suffix,7,10,10,Digitalis grandiflora,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Digitalidoideae|Digitalideae|Digitalis|Digitalis grandiflora
Diospyros,higher_taxon,genus,path_depth,3,10,10,Diospyros kaki,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ebenaceae|Ebenoideae|Diospyros|Diospyros kaki
Diphasiastrum,higher_taxon,genus,path_depth,1,10,10,Diphasiastrum alpinum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Lycopodiopsida|Lycopodiales|Lycopodiaceae|Lycopodioideae|Diphasiastrum|Diphasiastrum alpinum
Dipsaceae,higher_taxon,family,suffix,16,10,10,Cephalaria alpina,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Dipsacoideae|Dipsaceae|Cephalaria|Cephalaria alpina
Dodecatheon,higher_taxon,genus,path_depth,3,10,10,Primula meadia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Primuloideae|Dodecatheon|Dodecatheon meadia|Dodecatheon meadia meadia
Dolichandra,higher_taxon,genus,path_depth,1,10,10,Dolichandra unguis-cati,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Bignoniaceae|Bignonieae|Dolichandra|Dolichandra unguis-cati
