scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Furcraea,higher_taxon,genus,path_depth,2,9,9,Furcraea foetida,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Furcraea|Furcraea foetida,BestMatch,9.41215,Exact,0,Furcraea,Furcraea Vent.,Furcraea,8VXQR,Furcraea Vent.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Furcraea,
Gagea,higher_taxon,genus,path_depth,7,9,9,Gagea bohemica,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Liliaceae|Gagea|Gagea bohemica,BestMatch,9.41215,Exact,0,Gagea,Gagea Salisb.,Gagea,8VXR4,Gagea Salisb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Liliaceae|Gagea,
Galanthus,higher_taxon,genus,path_depth,4,9,9,Galanthus elwesii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Amaryllidaceae|Galanthus|Galanthus elwesii,BestMatch,9.41215,Exact,0,Galanthus,Galanthus L.,Galanthus,8VXR8,Galanthus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Amaryllidaceae|Galanthus,
Galega,higher_taxon,genus,path_depth,1,9,9,Galega officinalis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Galega|Galega officinalis,BestMatch,9.41215,Exact,0,Galega,Galega Tourn. ex L.,Galega,9CKV9,Galega Tourn. ex L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Galega,
Garrya,higher_taxon,genus,path_depth,1,9,9,Garrya elliptica,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Garryales|Garryaceae|Garrya|Garrya elliptica,BestMatch,9.41215,Exact,0,Garrya,Garrya Douglas ex Lindl.,Garrya,8VXS8,Garrya Douglas ex Lindl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Garryales|Garryaceae|Garrya,
Gasteria,higher_taxon,genus,path_depth,6,9,9,Gasteria brachyphylla,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asphodelaceae|Gasteria|Gasteria brachyphylla,BestMatch,9.41215,Exact,0,Gasteria,Gasteria Duval,Gasteria,8VXS9,Gasteria Duval,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asphodelaceae|Gasteria,
Gaudinia,higher_taxon,genus,path_depth,1,9,9,Gaudinia fragilis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Gaudinia|Gaudinia fragilis,BestMatch,9.41215,Exact,0,Gaudinia,Gaudinia P.Beauv.,Gaudinia,8VXSK,Gaudinia P.Beauv.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Gaudinia,
Geastrum triplex,higher_taxon,genus,path_depth,1,9,9,Geastrum michelianum,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Geastrales|Geastraceae|Geastrum|Geastrum triplex,BestMatch,9.41215,Exact,0,Geastrum triplex,Geastrum triplex Jungh.,Geastrum triplex,3FGBK,Geastrum triplex Jungh.,false,1,Catalogue of Life,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Geastrales|Geastraceae|Geastrum|Geastrum triplex,
Genista,higher_taxon,genus,path_depth,8,9,9,Genista delphinensis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Genista|Genista delphinensis,BestMatch,9.41215,Exact,0,Genista,Genista L.,Genista,9CKVF,Genista L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Genista,
Gentianeae,higher_taxon,tribe,suffix,39,9,9,Comastoma tenellum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Gentianaceae|Gentianeae|Swertiinae|Comastoma|Comastoma tenellum,BestMatch,9.41215,Exact,0,Gentianeae,Gentianeae Dumort.,Gentianeae,KVC24,Gentianeae Dumort.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Gentianaceae|Gentianeae,
Geogenanthus,higher_taxon,genus,path_depth,1,9,9,Geogenanthus poeppigii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Commelinales|Commelinaceae|Geogenanthus|Geogenanthus poeppigii,BestMatch,9.41215,Exact,0,Geogenanthus,Geogenanthus Ule,Geogenanthus,8VXTH,Geogenanthus Ule,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Commelinales|Commelinaceae|Geogenanthus,
Geranium,higher_taxon,genus,path_depth,36,9,9,Geranium aristatum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Geraniales|Geraniaceae|Geranium|Geranium aristatum,BestMatch,9.41215,Exact,0,Geranium,Geranium,Geranium,4N5F,Geranium,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Geraniales|Geraniaceae|Geranium,
Gesnerioideae,higher_taxon,subfamily,suffix,14,9,9,Achimenes erecta,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Gesneriaceae|Gesnerioideae|Gesnerieae|Gloxiniinae|Achimenes|Achimenes erecta,BestMatch,9.41215,Exact,0,Gesnerioideae,Gesnerioideae Burnett,Gesnerioideae,JLJ,Gesnerioideae Burnett,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Gesneriaceae|Gesnerioideae,
Ginkgo,higher_taxon,genus,path_depth,1,9,9,Ginkgo biloba,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Ginkgoopsida|Ginkgoales|Ginkgoaceae|Ginkgo|Ginkgo biloba,BestMatch,9.41215,Exact,0,Ginkgo,Ginkgo,Ginkgo,4NL8,Ginkgo,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Ginkgoopsida|Ginkgoales|Ginkgoaceae|Ginkgo,
Gladiolus,higher_taxon,genus,path_depth,8,9,9,Gladiolus carneus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Iridaceae|Gladiolus|Gladiolus carneus,BestMatch,9.41215,Exact,0,Gladiolus,Gladiolus Tourn. ex L.,Gladiolus,8VXVR,Gladiolus Tourn. ex L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Iridaceae|Gladiolus,
Glaucidioideae,higher_taxon,subfamily,suffix,1,9,9,Glaucidium palmatum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Glaucidioideae|Glaucidium|Glaucidium palmatum,BestMatch,9.41215,Exact,0,Glaucidioideae,Glaucidioideae Loconte,Glaucidioideae,JLM,Glaucidioideae Loconte,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Glaucidioideae,
Gleditsia,higher_taxon,genus,path_depth,1,9,9,Gleditsia triacanthos,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Gleditsia|Gleditsia triacanthos,BestMatch,9.41215,Exact,0,Gleditsia,Gleditsia L.,Gleditsia,9CKW3,Gleditsia L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Gleditsia,
