taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution,query_taxon_id,query_taxon_name
383579,Pholiota nameko,species,,Fungi,1,18,http://en.wikipedia.org/wiki/Pholiota_microspora,https://inaturalist-open-data.s3.amazonaws.com/photos/103668815/medium.jpeg,cc-by-nc,"(c) eordeman, some rights reserved (CC BY-NC)",47169,Basidiomycota
157728,Pholiota squarrosoides,species,Sharp-scaly Pholiota,Fungi,1,4546,https://en.wikipedia.org/wiki/Pholiota_squarrosoides,https://inaturalist-open-data.s3.amazonaws.com/photos/231576827/medium.jpg,cc-by-nc,"(c) slothpower, some rights reserved (CC BY-NC), uploaded by slothpower",47169,Basidiomycota
118266,Pholiota terrestris,species,Terrestrial Scalycap,Fungi,1,2829,,https://inaturalist-open-data.s3.amazonaws.com/photos/4137621/medium.,cc-by-nc,"(c) Christian Schwarz, some rights reserved (CC BY-NC), uploaded by Christian Schwarz",47169,Basidiomycota
1665287,Pholiotina filaris,species,fool's conecap,Fungi,1,399,https://en.wikipedia.org/wiki/Conocybe_rugosa,https://static.inaturalist.org/photos/485253/medium.jpg,,"(c) Damon Tighe, all rights reserved",47169,Basidiomycota
1416773,Pholiotina velata,species,Veiled Conecap,Fungi,1,19,,https://inaturalist-open-data.s3.amazonaws.com/photos/268734309/medium.jpeg,cc-by-nc,"(c) Matthieu Morin, some rights reserved (CC BY-NC), uploaded by Matthieu Morin",47169,Basidiomycota
1577763,Pholiotina vestita,species,caped conecap,Fungi,1,14,,https://inaturalist-open-data.s3.amazonaws.com/photos/127949075/medium.jpeg,cc-by-nc,"(c) Christian Apschner, some rights reserved (CC BY-NC), uploaded by Christian Apschner",47169,Basidiomycota
452195,Phragmidium mexicanum,species,Mock Strawberry Rust,Fungi,1,319,,https://inaturalist-open-data.s3.amazonaws.com/photos/101042870/medium.jpeg,cc-by-sa,"(c) Björn Sothmann, some rights reserved (CC BY-SA), uploaded by Björn Sothmann",47169,Basidiomycota
383622,Phragmidium mucronatum,species,,Fungi,1,547,http://en.wikipedia.org/wiki/Phragmidium_mucronatum,https://inaturalist-open-data.s3.amazonaws.com/photos/86413575/medium.jpeg,cc-by-sa,"(c) Björn Sothmann, some rights reserved (CC BY-SA), uploaded by Björn Sothmann",47169,Basidiomycota
1096327,Phragmidium tormentillae,species,,Fungi,1,12,https://en.wikipedia.org/wiki/Frommeella_tormentillae,https://inaturalist-open-data.s3.amazonaws.com/photos/85285698/medium.jpeg,cc-by-nc,"(c) Denis Ivanov, some rights reserved (CC BY-NC), uploaded by Denis Ivanov",47169,Basidiomycota
745733,Platygloea disciformis,species,,Fungi,1,15,,https://static.inaturalist.org/photos/624332383/medium.jpg,,"(c) Tomas Milan, all rights reserved, uploaded by Tomas Milan",47169,Basidiomycota
351875,Pleurotus cornucopiae,species,Branching Oyster,Fungi,1,654,http://en.wikipedia.org/wiki/Pleurotus_cornucopiae,https://inaturalist-open-data.s3.amazonaws.com/photos/203958681/medium.png,cc-by-nc,"(c) Joseph Pallante, some rights reserved (CC BY-NC), uploaded by Joseph Pallante",47169,Basidiomycota
118279,Pluteus inquilinus,species,,Fungi,1,9,,https://inaturalist-open-data.s3.amazonaws.com/photos/28753574/medium.jpg,cc-by-nc,"(c) Lyudmila Kalinina, some rights reserved (CC BY-NC), uploaded by Lyudmila Kalinina",47169,Basidiomycota
